                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.67816,                0.64178,                 1.1754,                0.91906,                0.77778,                0.93506,                0.66683,                 1.0609,                0.76579,                 1.7334,              0.0015116,              0.0015116,              0.0015116
                     76,                0.70506,                0.64252,                 1.2202,                0.89207,                0.88889,                0.94454,                0.65638,                 1.1972,                0.80301,                 1.8225,               0.001505,               0.001505,               0.001505
                     77,                0.69489,                0.58175,                  1.207,                 0.9425,                0.94444,                0.97917,                0.67923,                 1.1958,                0.59776,                 1.8674,              0.0014984,              0.0014984,              0.0014984
                     78,                0.65249,                0.65354,                  1.191,                 0.9867,                0.94444,                0.98591,                0.71825,                 1.0489,                0.61281,                 1.6653,              0.0014918,              0.0014918,              0.0014918
                     79,                0.67103,                 0.5944,                 1.1817,                0.99462,                0.88889,                 0.9735,                0.66348,                 1.1175,                0.76791,                 1.7101,              0.0014852,              0.0014852,              0.0014852
                     80,                0.67462,                0.61641,                 1.2007,                0.94077,                0.88275,                  0.932,                0.65153,                 1.0755,                0.88491,                  1.727,              0.0014786,              0.0014786,              0.0014786
                     81,                0.70388,                0.57331,                 1.2047,                0.87428,                0.94444,                 0.9286,                0.63239,                 1.0881,                0.80193,                 1.7412,               0.001472,               0.001472,               0.001472
                     82,                0.72142,                0.58727,                 1.2077,                 0.9687,                0.88889,                0.96003,                0.68674,                 1.0082,                0.68733,                 1.6856,              0.0014654,              0.0014654,              0.0014654
                     83,                0.72633,                0.63051,                 1.2469,                      1,                0.85667,                0.96703,                0.66062,                 1.0459,                0.73709,                 1.6343,              0.0014588,              0.0014588,              0.0014588
                     84,                0.69923,                0.62394,                 1.2407,                0.86901,                0.88889,                0.91624,                 0.6001,                 1.2421,                0.85433,                 1.9254,              0.0014522,              0.0014522,              0.0014522
                     85,                0.69013,                0.65983,                 1.1785,                0.83809,                0.86346,                0.92888,                0.64309,                 1.1603,                0.81768,                 1.7626,              0.0014456,              0.0014456,              0.0014456
                     86,                0.65026,                0.61108,                 1.1756,                0.89288,                0.92684,                0.96942,                0.63068,                  1.113,                0.88713,                 1.6923,               0.001439,               0.001439,               0.001439
                     87,                0.64775,                0.58896,                 1.1702,                0.83724,                0.88889,                0.93895,                0.63485,                 1.0057,                0.96905,                 1.6219,              0.0014324,              0.0014324,              0.0014324
                     88,                0.65762,                0.58198,                  1.195,                0.87261,                0.94444,                0.93875,                 0.6757,                 1.0242,                0.83577,                 1.5803,              0.0014258,              0.0014258,              0.0014258
                     89,                 0.6806,                 0.5852,                 1.2033,                0.93369,                0.94444,                0.98175,                0.72667,                 1.0152,                0.69503,                 1.5012,              0.0014192,              0.0014192,              0.0014192
                     90,                0.63056,                0.55213,                 1.1679,                 0.9687,                0.94444,                0.98786,                0.73815,                0.93598,                0.58025,                 1.4234,              0.0014126,              0.0014126,              0.0014126
                     91,                0.61504,                0.58141,                 1.1289,                0.85654,                      1,                 0.9786,                0.71651,                 1.0308,                 0.6362,                 1.6163,               0.001406,               0.001406,               0.001406
                     92,                0.64351,                0.62187,                 1.1646,                0.99984,                0.88889,                0.96681,                0.69413,                 1.1186,                 0.6171,                 1.7119,              0.0013994,              0.0013994,              0.0013994
